case_id,total,blocked,rule_block,ml_block,prompt_block,file_block,blocking_rate_pct
SAFE-1,1,1,0,1,1,0,100.0
SAFE-10,1,1,0,1,0,1,100.0
SAFE-11,1,0,0,0,0,0,0.0
SAFE-12,1,0,0,0,0,0,0.0
SAFE-13,1,0,0,0,0,0,0.0
SAFE-14,1,1,0,1,1,0,100.0
SAFE-15,1,1,0,1,1,0,100.0
SAFE-16,1,1,0,1,0,1,100.0
SAFE-17,1,1,0,1,1,0,100.0
SAFE-18,1,0,0,0,0,0,0.0
SAFE-19,1,1,0,1,1,0,100.0
SAFE-2,1,1,1,0,0,1,100.0
SAFE-20,1,0,0,0,0,0,0.0
SAFE-21,1,1,1,0,0,1,100.0
SAFE-3,1,0,0,0,0,0,0.0
SAFE-4,1,0,0,0,0,0,0.0
SAFE-5,1,1,0,1,0,1,100.0
SAFE-6,1,0,0,0,0,0,0.0
SAFE-7,1,1,0,1,0,1,100.0
SAFE-8,1,1,1,0,1,0,100.0
SAFE-9,1,0,0,0,0,0,0.0
